VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,103676752.0,14399.0,2464428.0,[kJ]
Heat rate - burner,82221323.0,11419.0,2464428.0,[kJ]
Heat rate - specimen comb.,21455429.0,2980.0,5115.0,[kJ]
Heat rate - vent.,-48813725.0,-6779.0,566971.0,[kJ]
Heat rate - lining,-4166134.0,-579.0,1094.0,[kJ]
Heat rate - specimen,-957466.0,-133.0,319.0,[kJ]
Heat rate - intern. gas,-57026402.0,-7920.0,2302667.0,[kJ]
Heat rate - window,-112270.0,-16.0,52.0,[kJ]
,,,,
Heat flux - instantaneous,2666625.0,370.0,1502.0,[kW/m2]
Heat flux - average,1274009.0,177.0,530.0,[kW/m2]
,,,,
Mass rate - fuel,1770.0,0.0,53.0,[kg]
Mass rate - specimen,1129.0,0.0,0.0,[kg]
Mass rate - ventilation in,34462.0,5.0,884.0,[kg]
Mass rate - ventilation ou,132861.0,18.0,30063.0,[kg]
,,,,
Temperature - furnace,-,530.0,1200.0,[deg C]
Temperature - lining,-,62.0,421.0,[deg C]
Temperature - specimen,-,187.0,986.0,[deg C]
,,,,
Time - temperature deviation,62.3,-,-,[min]
Time - ventilation controlled,75.1,-,-,[min]
,,,,
Length - charring,64.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
