VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,120777956.0,16774.0,3199481.0,[kJ]
Heat rate - burner,96015363.0,13335.0,3199481.0,[kJ]
Heat rate - specimen comb.,24762592.0,3439.0,10004.0,[kJ]
Heat rate - vent.,-55846909.0,-7756.0,736077.0,[kJ]
Heat rate - lining,-2490217.0,-346.0,948.0,[kJ]
Heat rate - specimen,-1286536.0,-179.0,605.0,[kJ]
Heat rate - intern. gas,-73977386.0,-10274.0,2989488.0,[kJ]
Heat rate - window,-63305.0,-9.0,52.0,[kJ]
,,,,
Heat flux - instantaneous,1524819.0,212.0,1502.0,[kW/m2]
Heat flux - average,608883.0,85.0,484.0,[kW/m2]
,,,,
Mass rate - fuel,2067.0,0.0,69.0,[kg]
Mass rate - specimen,1303.0,0.0,1.0,[kg]
Mass rate - ventilation in,37504.0,5.0,1147.0,[kg]
Mass rate - ventilation ou,165026.0,23.0,39029.0,[kg]
,,,,
Temperature - furnace,-,208.0,1200.0,[deg C]
Temperature - lining,-,-102.0,294.0,[deg C]
Temperature - specimen,-,-43.0,980.0,[deg C]
,,,,
Time - temperature deviation,92.8,-,-,[min]
Time - ventilation controlled,43.5,-,-,[min]
,,,,
Length - charring,41.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
