VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,202104936.0,28068.0,5080628.0,[kJ]
Heat rate - burner,166923887.0,23182.0,5080628.0,[kJ]
Heat rate - specimen comb.,35181049.0,4886.0,8722.0,[kJ]
Heat rate - vent.,-93658135.0,-13007.0,1168852.0,[kJ]
Heat rate - lining,-4536584.0,-630.0,1220.0,[kJ]
Heat rate - specimen,-1570403.0,-218.0,541.0,[kJ]
Heat rate - intern. gas,-117494887.0,-16318.0,4747196.0,[kJ]
Heat rate - window,-107233.0,-15.0,53.0,[kJ]
,,,,
Heat flux - instantaneous,2539564.0,353.0,1502.0,[kW/m2]
Heat flux - average,1191319.0,165.0,527.0,[kW/m2]
,,,,
Mass rate - fuel,3594.0,0.0,109.0,[kg]
Mass rate - specimen,1852.0,0.0,0.0,[kg]
Mass rate - ventilation in,64594.0,9.0,1821.0,[kg]
Mass rate - ventilation ou,266863.0,37.0,61977.0,[kg]
,,,,
Temperature - furnace,-,493.0,1200.0,[deg C]
Temperature - lining,-,42.0,412.0,[deg C]
Temperature - specimen,-,161.0,985.0,[deg C]
,,,,
Time - temperature deviation,67.0,-,-,[min]
Time - ventilation controlled,71.6,-,-,[min]
,,,,
Length - charring,62.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
