VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,102812807.0,14279.0,2464428.0,[kJ]
Heat rate - burner,81507242.0,11320.0,2464428.0,[kJ]
Heat rate - specimen comb.,21305565.0,2959.0,5304.0,[kJ]
Heat rate - vent.,-48321784.0,-6711.0,566971.0,[kJ]
Heat rate - lining,-4012660.0,-557.0,1079.0,[kJ]
Heat rate - specimen,-960554.0,-133.0,330.0,[kJ]
Heat rate - intern. gas,-57024039.0,-7919.0,2302667.0,[kJ]
Heat rate - window,-106926.0,-15.0,52.0,[kJ]
,,,,
Heat flux - instantaneous,2542933.0,353.0,1502.0,[kW/m2]
Heat flux - average,1193418.0,166.0,527.0,[kW/m2]
,,,,
Mass rate - fuel,1755.0,0.0,53.0,[kg]
Mass rate - specimen,1121.0,0.0,0.0,[kg]
Mass rate - ventilation in,33997.0,5.0,884.0,[kg]
Mass rate - ventilation ou,132385.0,18.0,30063.0,[kg]
,,,,
Temperature - furnace,-,494.0,1200.0,[deg C]
Temperature - lining,-,43.0,412.0,[deg C]
Temperature - specimen,-,162.0,985.0,[deg C]
,,,,
Time - temperature deviation,66.9,-,-,[min]
Time - ventilation controlled,71.7,-,-,[min]
,,,,
Length - charring,61.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
