VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,7042330.0,978.0,6176.0,[kJ]
Heat rate - burner,1161747.0,161.0,2543.0,[kJ]
Heat rate - specimen comb.,5880583.0,817.0,6176.0,[kJ]
Heat rate - vent.,-3423827.0,-475.0,3234.0,[kJ]
Heat rate - lining,-2486817.0,-345.0,2018.0,[kJ]
Heat rate - specimen,-1023962.0,-142.0,657.0,[kJ]
Heat rate - intern. gas,-48281.0,-7.0,3189.0,[kJ]
Heat rate - window,-68485.0,-10.0,52.0,[kJ]
,,,,
Heat flux - instantaneous,1809237.0,251.0,1502.0,[kW/m2]
Heat flux - average,827312.0,115.0,757.0,[kW/m2]
,,,,
Mass rate - fuel,25.0,0.0,0.0,[kg]
Mass rate - specimen,666.0,0.0,0.0,[kg]
Mass rate - ventilation in,2770.0,0.0,2.0,[kg]
Mass rate - ventilation ou,3257.0,0.0,26.0,[kg]
,,,,
Temperature - furnace,-,124.0,1200.0,[deg C]
Temperature - lining,-,-150.0,268.0,[deg C]
Temperature - specimen,-,-70.0,989.0,[deg C]
,,,,
Time - temperature deviation,111.7,-,-,[min]
Time - ventilation controlled,29.6,-,-,[min]
,,,,
Length - charring,28.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[% vol.]
