VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,22546977.0,3131.0,3323.0,[kJ]
Heat rate - burner,22546977.0,3131.0,3323.0,[kJ]
Heat rate - specimen comb.,0.0,0.0,0.0,[kJ]
Heat rate - vent.,-15593427.0,-2166.0,2631.0,[kJ]
Heat rate - lining,-6741760.0,-936.0,1498.0,[kJ]
Heat rate - specimen,0.0,0.0,0.0,[kJ]
Heat rate - intern. gas,-43872.0,-6.0,1907.0,[kJ]
Heat rate - window,-167918.0,-23.0,35.0,[kJ]
,,,,
Heat flux - instantaneous,3891213.0,540.0,885.0,[kW/m2]
Heat flux - average,2285119.0,317.0,540.0,[kW/m2]
,,,,
Mass rate - fuel,485.0,0.0,0.0,[kg]
Mass rate - specimen,0.0,0.0,0.0,[kg]
Mass rate - ventilation in,15278.0,2.0,2.0,[kg]
Mass rate - ventilation ou,15364.0,2.0,26.0,[kg]
,,,,
Temperature - furnace,-,905.0,1054.0,[deg C]
Temperature - lining,-,282.0,486.0,[deg C]
Temperature - specimen,-,-273.0,25.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,0.0,-,-,[min]
,,,,
Length - charring,0.0,0.0,0.0,[mm]
Content - O2,70973.0,10.0,21.0,[% vol.]
