VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,9914433.0,1377.0,3074.0,[kJ]
Heat rate - burner,1172990.0,163.0,2757.0,[kJ]
Heat rate - specimen comb.,8741444.0,1214.0,3065.0,[kJ]
Heat rate - vent.,-5025394.0,-698.0,1788.0,[kJ]
Heat rate - lining,-4125007.0,-573.0,1448.0,[kJ]
Heat rate - specimen,-635332.0,-88.0,236.0,[kJ]
Heat rate - intern. gas,-48299.0,-7.0,1907.0,[kJ]
Heat rate - window,-96527.0,-13.0,53.0,[kJ]
,,,,
Heat flux - instantaneous,2381522.0,331.0,1502.0,[kW/m2]
Heat flux - average,1057872.0,147.0,610.0,[kW/m2]
,,,,
Mass rate - fuel,25.0,0.0,0.0,[kg]
Mass rate - specimen,460.0,0.0,0.0,[kg]
Mass rate - ventilation in,4291.0,1.0,2.0,[kg]
Mass rate - ventilation ou,4975.0,1.0,26.0,[kg]
,,,,
Temperature - furnace,-,359.0,1200.0,[deg C]
Temperature - lining,-,-35.0,383.0,[deg C]
Temperature - specimen,-,82.0,987.0,[deg C]
,,,,
Time - temperature deviation,111.7,-,-,[min]
Time - ventilation controlled,56.2,-,-,[min]
,,,,
Length - charring,37.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[% vol.]
