VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,7667760.0,1065.0,4559.0,[kJ]
Heat rate - burner,1127245.0,157.0,2650.0,[kJ]
Heat rate - specimen comb.,6540515.0,908.0,4559.0,[kJ]
Heat rate - vent.,-3703959.0,-514.0,2061.0,[kJ]
Heat rate - lining,-3043906.0,-423.0,1812.0,[kJ]
Heat rate - specimen,-806542.0,-112.0,393.0,[kJ]
Heat rate - intern. gas,-48404.0,-7.0,1907.0,[kJ]
Heat rate - window,-75028.0,-10.0,52.0,[kJ]
,,,,
Heat flux - instantaneous,1961663.0,272.0,1502.0,[kW/m2]
Heat flux - average,891816.0,124.0,752.0,[kW/m2]
,,,,
Mass rate - fuel,24.0,0.0,0.0,[kg]
Mass rate - specimen,534.0,0.0,0.0,[kg]
Mass rate - ventilation in,2976.0,0.0,2.0,[kg]
Mass rate - ventilation ou,3508.0,0.0,26.0,[kg]
,,,,
Temperature - furnace,-,161.0,1200.0,[deg C]
Temperature - lining,-,-135.0,294.0,[deg C]
Temperature - specimen,-,-43.0,989.0,[deg C]
,,,,
Time - temperature deviation,111.7,-,-,[min]
Time - ventilation controlled,33.5,-,-,[min]
,,,,
Length - charring,30.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[% vol.]
