Total energy comsumption,11546.0,[MJ]
Total fuel consumption,249.0,[kg]
Total charred depth,0.0,[cm]
Time when actual temperature deviated,0.0,[min]
Time when ventilation controlled,0.0,[min]
Max. lining temperature,1009.0,[C]
Max. specimen temperature,25.0,[C]
Min. heat loss to lining,-1350.0,[kJ/s]
Min. heat loss to specimen,0.0,[kJ/s]
Min. heat loss to window,-35.0,[kJ/s]
Ave. vent. mass flow rate,0.774,[kg/s]
O2 content by vol.,4.49,[%]
